geoid,label.x,income_mean_2010,income_median_2010,income_mean_2011,income_median_2011,income_mean_2012,income_median_2012,income_mean_2013,income_median_2013,income_mean_2014,income_median_2014,income_mean_2015,income_median_2015,income_mean_2016,income_median_2016,income_mean_2017,income_median_2017,income_mean_2018,income_median_2018,income_mn,income_md,label.y,rebate_total_2010,rebate_mean_2010,num_buyer_2010,rebate_total_2011,rebate_mean_2011,num_buyer_2011,rebate_total_2012,rebate_mean_2012,num_buyer_2012,rebate_total_2013,rebate_mean_2013,num_buyer_2013,rebate_total_2014,rebate_mean_2014,num_buyer_2014,rebate_total_2015,rebate_mean_2015,num_buyer_2015,rebate_total_2016,rebate_mean_2016,num_buyer_2016,rebate_total_2017,rebate_mean_2017,num_buyer_2017,rebate_total_2018,rebate_mean_2018,num_buyer_2018,num_tot,rebate_tot,rebate_mn,Total Population_2010,CES 3.0 Score,CES 3.0 Percentile,DAC,Disadvantaged Communities,Low-Income Communities,Partial Overlap with Buffer,Wholly within Buffer,STATEFP,COUNTYFP,TRACTCE,rebate_capita_2010,rebate_capita_2011,rebate_capita_2012,rebate_capita_2013,rebate_capita_2014,rebate_capita_2015,rebate_capita_2016,rebate_capita_2017,rebate_capita_2018,rebate_capita_average,rebate_capita_average_before,rebate_capita_average_after,rebate_tot_before,rebate_tot_after
6001400100,"Census Tract 4001, Alameda County, California",173472,239217,156250,237805,144732,226658,147292,218565,165625,224828,174113,238371,177417,247448,208393,273489,208393,273489,172854.1111,238371,"Census Tract 4001, Alameda County, California",5000,5000,1,15000,3750,4,14000,1750,8,32000,2285.71,14,32083,2138.87,15,42000,2333.33,18,25500,2318.18,11,19000,2375,8,40000,2222.22,18,97,224583,2315.28866,2937,3.97,1.87,No,No,No,No,No,6,1,400100,1.851166235,6.11995104,5.411673753,9.543692216,9.477991137,14.22764228,8.449304175,6.352390505,12.84109149,8.252766981,7.772019444,9.214262057,140083,84500
6001400200,"Census Tract 4002, Alameda County, California",95833,182500,111667,195229,122634,183864,131250,198615,134531,194525,141806,181040,153125,188486,147500,190128,147500,190128,131760.6667,190128,"Census Tract 4002, Alameda County, California",0,0,0,10000,5000,2,0,0,0,8000,2000,4,20000,2000,10,31500,2423.08,13,17000,2428.57,7,14000,2333.33,6,18000,2250,8,50,118500,2370,1974,1.81,0.25,No,No,No,No,No,6,1,400200,NA,4.755111745,NA,4.115226337,10.31459515,15.87701613,8.673469388,7.010515774,8.888888889,8.519260488,8.765487341,8.190958017,69500,49000
6001400300,"Census Tract 4003, Alameda County, California",52314,92166,66094,105877,56000,105419,75266,111619,71618,126104,84598,132725,85313,135449,88173,135699,88173,135699,74172.11111,126104,"Census Tract 4003, Alameda County, California",0,0,0,15000,3750,4,14500,2071.43,7,32000,2000,16,40500,2131.58,19,37000,2312.5,16,25500,1961.54,13,23500,2136.36,11,29000,2416.67,12,98,217000,2214.285714,4865,12.04,17.63,No,No,No,No,No,6,1,400300,NA,2.948113208,2.764010675,5.952380952,7.461311717,6.881160498,4.87012987,4.587155963,5.8,5.15803286,5.20139541,5.085761944,139000,78000
6001400400,"Census Tract 4004, Alameda County, California",79071,98815,87306,106248,92366,106406,93203,106872,98824,115715,102386,118159,99539,127642,102821,135817,102821,135817,95370.77778,115715,"Census Tract 4004, Alameda County, California",0,0,0,2500,2500,1,12500,1785.71,7,7500,2500,3,40500,2131.58,19,54000,2250,24,30000,2307.69,13,24500,2227.27,11,35500,2366.67,15,93,207000,2225.806452,3703,10.91,15.02,No,No,No,No,No,6,1,400400,NA,0.634034999,2.960682141,1.806358382,9.464828231,13.1546894,7.192519779,6.138812328,9.237574811,6.323687509,5.604118631,7.522968973,117000,90000
6001400500,"Census Tract 4005, Alameda County, California",52076,70553,62386,74604,69353,77109,73261,81253,73837,82269,76038,81219,83650,92682,92375,105137,92375,105137,75039,81253,"Census Tract 4005, Alameda County, California",0,0,0,2500,2500,1,0,0,0,13000,2166.67,6,14500,2071.43,7,19000,2375,8,15500,2214.29,7,16000,2666.67,6,12000,2000,6,41,92500,2256.097561,3517,18.55,34.58,No,No,No,No,No,6,1,400500,NA,0.71818443,NA,3.593145384,4.124004551,5.204053684,4.135538954,4.056795132,3.169572108,3.571613463,3.409847012,3.787302065,49000,43500
6001400600,"Census Tract 4006, Alameda County, California",47792,67237,55658,73933,54233,71460,53614,73645,57639,74836,60804,87527,61597,91276,86458,108208,86458,108208,62694.77778,74836,"Census Tract 4006, Alameda County, California",0,0,0,0,0,0,0,0,0,9000,2250,4,0,0,0,4000,2000,2,5500,1833.33,3,0,0,0,14500,2900,5,14,33000,2357.142857,1571,18.28,33.95,No,No,No,No,No,6,1,400600,NA,NA,NA,5.3222945,NA,2.402402402,3.311258278,NA,8.852258852,4.972053508,3.862348451,6.081758565,13000,20000
6001400700,"Census Tract 4007, Alameda County, California",38790,51408,38646,56705,39900,56875,38836,55306,41023,58692,39614,60252,46424,70191,55066,80568,55066,80568,43707.22222,58692,"Census Tract 4007, Alameda County, California",0,0,0,0,0,0,5500,1833.33,3,9500,1900,5,16000,2000,8,11500,2300,5,17500,2500,7,33333,2380.93,14,40500,2382.35,17,59,133833,2268.355932,4206,35.87,69.81,No,No,Yes,Yes,No,6,1,400700,NA,NA,1.455411485,2.338749385,3.639672429,2.530809859,3.844463972,6.89125491,7.916340891,4.088100419,2.49116079,6.217353258,42500,91333
6001400800,"Census Tract 4008, Alameda County, California",37143,56933,52837,66822,55153,67533,56993,72454,59018,72161,59886,76848,61111,77066,64788,85114,64788,85114,56857.44444,72454,"Census Tract 4008, Alameda County, California",0,0,0,0,0,0,2500,2500,1,7000,1750,4,12000,2000,6,14500,2071.43,7,2500,2500,1,21500,2388.89,9,19000,2375,8,36,79000,2194.444444,3594,34.19,67.05,No,No,Yes,Yes,No,6,1,400800,NA,NA,0.821827745,2.279387822,3.729024239,4.111142614,0.71306332,5.663856691,5.010548523,3.189835851,2.735345605,3.795822845,36000,43000
6001400900,"Census Tract 4009, Alameda County, California",50341,59184,59091,59690,60811,59933,55205,68586,60089,77173,57003,85046,55691,83432,57011,89411,57011,89411,56917,77173,"Census Tract 4009, Alameda County, California",0,0,0,2500,2500,1,0,0,0,6500,2166.67,3,11500,2300,5,11000,1833.33,6,3000,1500,2,8000,2000,4,15500,2214.29,7,28,58000,2071.428571,2302,34.02,66.74,No,No,Yes,Yes,Yes,6,1,400900,NA,1.022913257,NA,2.984389348,5.662235352,5.057471264,1.326259947,3.341687552,6.272764063,3.666817255,3.681752305,3.646903854,31500,26500
6001401000,"Census Tract 4010, Alameda County, California",41588,49430,40402,50056,40034,51766,40488,53945,38403,54787,44766,63067,51073,68001,60443,71295,60443,71295,46404.44444,54787,"Census Tract 4010, Alameda County, California",0,0,0,0,0,0,1500,1500,1,2500,2500,1,9500,1900,5,12000,2000,6,2500,2500,1,14500,2071.43,7,14000,2333.33,6,27,56500,2092.592593,5678,41.81,78.52,Yes,Yes,Yes,No,No,6,1,401000,NA,NA,0.300180108,0.499300979,1.725703906,2.004342743,0.403681576,2.321114135,2.324037185,1.368337233,1.132381934,1.682944299,25500,31000
